brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type
Audi,A6 Sportback e-tron,210,75.8,Lithium-ion,150.0,435.0,136,495,6.0,150.0,CCS,2100.0,502,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan
Audi,A6 Sportback e-tron performance,210,94.9,Lithium-ion,180.0,565.0,141,610,5.4,200.0,CCS,2100.0,502,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan
Audi,A6 Sportback e-tron quattro,210,94.9,Lithium-ion,180.0,855.0,147,590,4.7,200.0,CCS,2100.0,502,5,AWD,JE - Executive,4928,1923,1455,Liftback Sedan
Audi,Q4 Sportback e-tron 40,160,59.0,Lithium-ion,216.0,310.0,156,340,8.1,110.0,CCS,1000.0,520,5,RWD,JC - Medium,4588,1865,1614,SUV
Audi,Q4 Sportback e-tron 45,180,77.0,Lithium-ion,288.0,545.0,162,435,6.7,120.0,CCS,1000.0,535,5,RWD,JC - Medium,4588,1865,1614,SUV
Audi,Q4 Sportback e-tron 45 quattro,180,77.0,Lithium-ion,288.0,679.0,165,410,6.6,120.0,CCS,1200.0,535,5,AWD,JC - Medium,4588,1865,1614,SUV
Audi,Q4 Sportback e-tron 55 quattro,180,77.0,Lithium-ion,288.0,679.0,165,415,5.4,120.0,CCS,1200.0,535,5,AWD,JC - Medium,4588,1865,1614,SUV
Audi,Q4 e-tron 40,160,59.0,Lithium-ion,216.0,310.0,159,325,8.1,110.0,CCS,1000.0,520,5,RWD,JC - Medium,4588,1865,1632,SUV
Audi,Q4 e-tron 45,180,77.0,Lithium-ion,288.0,545.0,169,420,6.7,120.0,CCS,1000.0,520,5,RWD,JC - Medium,4588,1865,1632,SUV
Audi,Q4 e-tron 45 quattro,180,77.0,Lithium-ion,288.0,679.0,171,395,6.6,120.0,CCS,1200.0,520,5,AWD,JC - Medium,4588,1865,1632,SUV
Audi,Q4 e-tron 55 quattro,180,77.0,Lithium-ion,288.0,679.0,171,395,5.4,120.0,CCS,1200.0,520,5,AWD,JC - Medium,4588,1865,1632,SUV
Audi,Q6 e-tron,210,75.8,Lithium-ion,150.0,450.0,166,395,7.0,150.0,CCS,2000.0,526,5,RWD,JD - Large,4771,1939,1685,SUV
Audi,Q6 e-tron Sportback,210,75.8,Lithium-ion,150.0,450.0,139,410,7.0,150.0,CCS,2000.0,511,5,RWD,JD - Large,4771,1939,1665,SUV
Audi,Q6 e-tron Sportback performance,210,94.9,Lithium-ion,180.0,485.0,145,510,6.6,190.0,CCS,2000.0,511,5,RWD,JD - Large,4771,1939,1665,SUV
Audi,Q6 e-tron Sportback quattro,210,94.9,Lithium-ion,180.0,855.0,149,500,5.9,200.0,CCS,2400.0,511,5,AWD,JD - Large,4771,1939,1665,SUV
Audi,Q6 e-tron performance,210,94.9,Lithium-ion,180.0,485.0,171,490,6.6,190.0,CCS,2000.0,526,5,RWD,JD - Large,4771,1939,1685,SUV
Audi,Q6 e-tron quattro,210,94.9,Lithium-ion,180.0,855.0,176,480,5.9,200.0,CCS,2400.0,10 Banana Boxes,5,AWD,JD - Large,4771,1939,1685,SUV
Audi,S6 Avant e-tron,240,94.9,Lithium-ion,180.0,855.0,156,530,3.9,200.0,CCS,2100.0,502,5,AWD,JE - Executive,4928,1923,1493,Station/Estate
Audi,S6 Sportback e-tron,240,94.9,Lithium-ion,180.0,855.0,149,555,3.9,200.0,CCS,2100.0,502,5,AWD,JE - Executive,4928,1923,1465,Liftback Sedan
Audi,SQ6 e-tron,230,94.9,Lithium-ion,180.0,855.0,169,470,4.3,200.0,CCS,2400.0,514,5,AWD,JD - Large,4771,1965,1685,SUV
Audi,SQ6 e-tron Sportback,230,94.9,Lithium-ion,180.0,855.0,164,495,4.3,200.0,CCS,2400.0,511,5,AWD,JD - Large,4771,1965,1665,SUV
Audi,e-tron GT RS,250,97.0,Lithium-ion,396.0,865.0,184,525,2.8,281.0,CCS,0.0,350,4,AWD,F - Luxury,4997,1964,1389,Sedan
Audi,e-tron GT RS performance,250,97.0,Lithium-ion,396.0,1027.0,182,525,2.5,281.0,CCS,0.0,350,4,AWD,F - Luxury,4997,1964,1389,Sedan
Audi,e-tron GT S,245,97.0,Lithium-ion,396.0,740.0,172,540,3.4,281.0,CCS,0.0,405,4,AWD,F - Luxury,5004,1964,1394,Sedan
Audi,e-tron GT quattro,245,97.0,Lithium-ion,396.0,625.0,169,540,4.0,281.0,CCS,0.0,405,4,AWD,F - Luxury,5004,1964,1394,Sedan
BYD,ATTO 3 (MY25),160,60.5,Lithium-ion,126.0,310.0,144,340,7.3,75.0,CCS,750.0,440,5,FWD,JC - Medium,4455,1875,1615,SUV
BYD,DOLPHIN 44.9 kWh Active,150,44.9,Lithium-ion,104.0,180.0,132,265,12.3,50.0,CCS,0.0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback
BYD,DOLPHIN 60.4 kWh,160,60.5,Lithium-ion,126.0,310.0,142,350,7.0,65.0,CCS,0.0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback
BYD,DOLPHIN SURF 30 kWh Active,150,30.0,Lithium-ion,94.0,175.0,136,190,11.1,45.0,CCS,0.0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback
BYD,DOLPHIN SURF 43.2 kWh Boost,150,43.2,Lithium-ion,90.0,175.0,134,270,12.1,60.0,CCS,0.0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback
BYD,DOLPHIN SURF 43.2 kWh Comfort,150,43.2,Lithium-ion,90.0,220.0,139,265,9.1,60.0,CCS,0.0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback
BYD,SEAL 61.4 kWh RWD Comfort,220,61.4,Lithium-ion,128.0,380.0,133,365,7.5,75.0,CCS,750.0,400,5,RWD,D - Large,4800,1875,1460,Sedan
BYD,SEAL 82.5 kWh AWD Excellence,180,82.5,Lithium-ion,172.0,670.0,159,445,3.8,100.0,CCS,1500.0,400,5,AWD,D - Large,4800,1875,1460,Sedan
BYD,SEAL 82.5 kWh RWD Design,180,82.5,Lithium-ion,172.0,360.0,145,480,5.9,100.0,CCS,750.0,400,5,RWD,D - Large,4800,1875,1460,Sedan
BYD,SEAL U 71.8 kWh Comfort,175,71.8,Lithium-ion,132.0,310.0,171,360,9.3,72.0,CCS,1300.0,552,5,FWD,JD - Large,4785,1890,1668,SUV
BYD,SEAL U 87 kWh Design,175,87.0,Lithium-ion,160.0,330.0,174,425,9.6,85.0,CCS,1300.0,552,5,FWD,JD - Large,4785,1890,1668,SUV
BYD,SEALION 7 82.5 kWh AWD Design,215,82.5,Lithium-ion,172.0,690.0,181,400,4.5,115.0,CCS,1500.0,520,5,AWD,JD - Large,4830,1925,1620,SUV
BYD,SEALION 7 82.5 kWh RWD Comfort,215,82.5,Lithium-ion,172.0,380.0,171,415,6.7,115.0,CCS,750.0,520,5,RWD,JD - Large,4830,1925,1620,SUV
CUPRA,Born 170 kW - 59 kWh,160,59.0,Lithium-ion,216.0,310.0,156,360,6.7,110.0,CCS,0.0,385,5,RWD,C - Medium,4322,1809,1540,Hatchback
CUPRA,Born 170 kW - 77 kWh,160,77.0,Lithium-ion,288.0,310.0,157,460,7.0,125.0,CCS,0.0,385,5,RWD,C - Medium,4322,1809,1540,Hatchback
CUPRA,Born VZ,200,79.0,Lithium-ion,288.0,545.0,149,465,5.6,135.0,CCS,0.0,385,5,RWD,C - Medium,4322,1809,1538,Hatchback
CUPRA,Tavascan Endurance,180,77.0,Lithium-ion,288.0,545.0,142,445,6.8,120.0,CCS,1000.0,540,5,RWD,JC - Medium,4644,1861,1597,SUV
CUPRA,Tavascan VZ,180,77.0,Lithium-ion,288.0,545.0,150,425,5.5,120.0,CCS,1200.0,540,5,AWD,JC - Medium,4644,1861,1597,SUV
Cadillac,Lyriq 600 E4,210,102.0,Lithium-ion,288.0,610.0,192,460,5.3,165.0,CCS,1587.0,793,5,AWD,JF - Luxury,5005,1977,1623,SUV
Citroen,e-C4,150,46.3,Lithium-ion,216.0,260.0,135,285,9.9,78.0,CCS,0.0,380,5,FWD,C - Medium,4360,1834,1525,Hatchback
Citroen,e-C4 54 kWh,150,50.8,Lithium-ion,102.0,260.0,122,325,9.1,78.0,CCS,0.0,380,5,FWD,C - Medium,4360,1834,1525,Hatchback
Citroen,e-C4 X,150,46.3,Lithium-ion,216.0,260.0,132,290,9.9,78.0,CCS,0.0,510,5,FWD,C - Medium,4600,1834,1525,Sedan
Citroen,e-C4 X 54 kWh,150,50.8,Lithium-ion,102.0,260.0,119,335,9.1,78.0,CCS,0.0,510,5,FWD,C - Medium,4600,1834,1525,Sedan
Citroen,e-SpaceTourer M 50 kWh,130,46.3,Lithium-ion,216.0,220.0,217,180,13.3,78.0,CCS,1000.0,603,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van
Citroen,e-SpaceTourer M 75 kWh,130,68.0,Lithium-ion,324.0,220.0,202,260,14.2,79.0,CCS,1000.0,603,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van
Citroen,e-SpaceTourer XL 50 kWh,130,46.3,Lithium-ion,216.0,220.0,219,180,13.3,78.0,CCS,1000.0,989,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van
Citroen,e-SpaceTourer XL 75 kWh,130,68.0,Lithium-ion,324.0,220.0,204,260,14.2,79.0,CCS,1000.0,989,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van
DS,3 E-Tense,150,50.8,Lithium-ion,102.0,260.0,128,300,9.0,85.0,CCS,0.0,350,5,FWD,JB - Compact,4118,1802,1534,SUV
Dacia,Spring Electric 45,125,25.0,Lithium-ion,72.0,125.0,109,165,19.1,29.0,CCS,0.0,308,4,FWD,A - Mini,3700,1622,1516,Hatchback
Dacia,Spring Electric 65,125,25.0,Lithium-ion,72.0,113.0,114,160,13.7,29.0,CCS,0.0,308,4,FWD,A - Mini,3700,1622,1516,Hatchback
Fiat,500e 3+1 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback
Fiat,500e 3+1 42 kWh,150,37.3,Lithium-ion,192.0,220.0,122,235,9.0,67.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback
Fiat,500e Cabrio 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Cabriolet
Fiat,500e Cabrio 42 kWh,150,37.3,Lithium-ion,192.0,220.0,125,230,9.0,67.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Cabriolet
Fiat,500e Hatchback 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback
Fiat,500e Hatchback 42 kWh,150,37.3,Lithium-ion,192.0,220.0,118,235,9.0,67.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback
Fiat,600e,150,50.8,Lithium-ion,102.0,260.0,124,310,9.0,79.0,CCS,0.0,360,5,FWD,JB - Compact,4171,1781,1523,SUV
Ford,Capri Extended Range AWD,180,79.0,Lithium-ion,288.0,679.0,148,455,5.3,135.0,CCS,1200.0,572,5,AWD,D - Large,4643,1872,1626,Liftback Sedan
Ford,Capri Extended Range RWD,180,77.0,Lithium-ion,288.0,545.0,135,455,6.4,120.0,CCS,1000.0,572,5,RWD,D - Large,4643,1872,1626,Liftback Sedan
Ford,Capri Standard Range RWD,160,52.0,Lithium-ion,192.0,310.0,163,320,9.0,85.0,CCS,1000.0,572,5,RWD,D - Large,4643,1872,1626,Liftback Sedan
Ford,Explorer Extended Range AWD,180,79.0,Lithium-ion,288.0,679.0,153,440,5.3,135.0,CCS,1200.0,536,5,AWD,JC - Medium,4468,1871,1639,SUV
Ford,Explorer Extended Range RWD,180,77.0,Lithium-ion,288.0,545.0,139,435,6.4,120.0,CCS,1000.0,536,5,RWD,JC - Medium,4468,1871,1630,SUV
Ford,Explorer Standard Range RWD,160,52.0,Lithium-ion,192.0,310.0,137,305,8.7,85.0,CCS,1000.0,536,5,RWD,JC - Medium,4468,1871,1630,SUV
Ford,Mustang Mach-E ER AWD (MY24),180,91.0,Lithium-ion,376.0,675.0,165,445,4.6,115.0,CCS,1500.0,519,5,AWD,JD - Large,4713,1881,1624,SUV
Ford,Mustang Mach-E ER RWD (MY24),180,91.0,Lithium-ion,376.0,525.0,152,480,5.9,115.0,CCS,1500.0,519,5,RWD,JD - Large,4713,1881,1624,SUV
Ford,Mustang Mach-E GT (MY24),200,91.0,Lithium-ion,376.0,950.0,177,425,3.8,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1613,SUV
Ford,Mustang Mach-E GT (MY25),200,91.0,Lithium-ion,376.0,950.0,177,435,3.8,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1613,SUV
Ford,Mustang Mach-E Rally (MY25),200,91.0,Lithium-ion,376.0,950.0,178,415,3.9,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1633,SUV
Ford,Mustang Mach-E Rally (MY24),200,91.0,Lithium-ion,376.0,950.0,178,410,3.9,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1633,SUV
Genesis,GV60 Premium,185,74.0,Lithium-ion,384.0,350.0,143,390,7.8,200.0,CCS,1600.0,432,5,RWD,JC - Medium,4515,1890,1580,SUV
Genesis,GV60 Sport,200,74.0,Lithium-ion,384.0,605.0,157,375,5.5,200.0,CCS,1600.0,432,5,AWD,JC - Medium,4515,1890,1580,SUV
Genesis,GV60 Sport Plus,235,74.0,Lithium-ion,384.0,700.0,159,360,4.0,200.0,CCS,1600.0,432,5,AWD,JC - Medium,4515,1890,1580,SUV
Genesis,GV70 Electrified Sport,235,74.0,Lithium-ion,384.0,700.0,163,350,4.2,190.0,CCS,1800.0,503,5,AWD,JD - Large,4715,1910,1630,SUV
Hyundai,IONIQ 5 63 kWh RWD (MY24),185,60.0,Lithium-ion,288.0,350.0,136,345,8.5,150.0,CCS,750.0,520,5,RWD,JC - Medium,4655,1890,1605,SUV
Hyundai,IONIQ 5 84 kWh AWD (MY24),185,80.0,Lithium-ion,384.0,605.0,162,445,5.3,205.0,CCS,1600.0,520,5,AWD,JC - Medium,4655,1890,1605,SUV
Hyundai,IONIQ 5 84 kWh RWD (MY24),185,80.0,Lithium-ion,384.0,350.0,155,450,7.5,205.0,CCS,1600.0,520,5,RWD,JC - Medium,4655,1890,1605,SUV
Hyundai,IONIQ 5 N (MY24),260,80.0,Lithium-ion,384.0,740.0,179,390,3.4,205.0,CCS,0.0,480,5,AWD,JC - Medium,4715,1940,1585,SUV
Hyundai,IONIQ 6 Long Range 2WD,185,74.0,Lithium-ion,384.0,350.0,136,495,7.4,200.0,CCS,1500.0,401,5,RWD,D - Large,4855,1880,1495,Sedan
Hyundai,IONIQ 6 Long Range AWD,185,74.0,Lithium-ion,384.0,605.0,143,440,5.1,200.0,CCS,1500.0,401,5,AWD,D - Large,4855,1880,1495,Sedan
Hyundai,IONIQ 6 Standard Range 2WD,185,50.0,Lithium-ion,264.0,350.0,117,335,8.8,120.0,CCS,750.0,401,5,RWD,D - Large,4855,1880,1495,Sedan
Jaguar,I-Pace EV400,200,84.7,Lithium-ion,432.0,696.0,208,380,4.8,85.0,CCS,750.0,505,5,AWD,JD - Large,4682,2011,1566,SUV
Jeep,Avenger Electric,150,50.8,Lithium-ion,102.0,260.0,132,310,9.0,85.0,CCS,0.0,355,5,FWD,JB - Compact,4084,1776,1528,SUV
Kia,EV6 GT,260,80.0,Lithium-ion,384.0,770.0,178,385,3.5,205.0,CCS,1800.0,480,5,AWD,JC - Medium,4695,1890,1545,SUV
Kia,EV6 Long Range 2WD,185,80.0,Lithium-ion,384.0,350.0,143,455,7.3,205.0,CCS,1800.0,490,5,RWD,JC - Medium,4695,1880,1575,SUV
Kia,EV6 Long Range AWD,185,80.0,Lithium-ion,384.0,605.0,154,440,5.2,205.0,CCS,1800.0,490,5,AWD,JC - Medium,4695,1880,1575,SUV
Kia,EV6 Standard Range 2WD,185,60.0,Lithium-ion,288.0,350.0,140,345,8.7,150.0,CCS,750.0,490,5,RWD,JC - Medium,4695,1880,1575,SUV
Kia,EV9 76.1 kWh RWD,190,73.0,Lithium-ion,348.0,350.0,165,355,8.5,160.0,CCS,900.0,333,7,RWD,JF - Luxury,5010,1980,1755,SUV
Kia,EV9 99.8 kWh AWD,200,96.0,Lithium-ion,456.0,600.0,188,435,6.0,194.0,CCS,2500.0,333,7,AWD,JF - Luxury,5010,1980,1755,SUV
Kia,EV9 99.8 kWh AWD GT,220,96.0,Lithium-ion,456.0,740.0,190,420,4.6,194.0,CCS,2500.0,333,7,AWD,JF - Luxury,5015,1980,1755,SUV
Kia,EV9 99.8 kWh AWD GT-Line,200,96.0,Lithium-ion,456.0,700.0,190,425,5.3,194.0,CCS,2500.0,333,7,AWD,JF - Luxury,5015,1980,1780,SUV
Kia,EV9 99.8 kWh RWD,185,96.0,Lithium-ion,456.0,350.0,171,450,9.4,194.0,CCS,900.0,333,7,RWD,JF - Luxury,5010,1980,1755,SUV
Kia,Niro EV,167,64.8,Lithium-ion,96.0,255.0,140,385,7.8,70.0,CCS,750.0,475,5,FWD,JC - Medium,4420,1825,1570,SUV
Lancia,Ypsilon,150,48.1,Lithium-ion,96.0,260.0,122,310,8.2,80.0,CCS,0.0,309,5,FWD,B - Compact,4080,1760,1440,Hatchback
Lexus,RZ 300e,160,64.0,Lithium-ion,96.0,266.0,149,365,8.0,100.0,CCS,750.0,522,5,FWD,JC - Medium,4690,1860,1600,SUV
Lexus,RZ 450e,160,64.0,Lithium-ion,96.0,435.0,158,350,5.6,100.0,CCS,750.0,522,5,AWD,JD - Large,4805,1895,1635,SUV
Lexus,UX 300e,160,64.0,Lithium-ion,96.0,300.0,145,340,7.5,35.0,CHAdeMO,0.0,316,5,FWD,JC - Medium,4495,1840,1545,SUV
Lucid,Air Grand Touring,270,112.0,Lithium-ion,6600.0,1200.0,143,665,3.0,184.0,CCS,0.0,456,5,AWD,F - Luxury,4975,1939,1410,Sedan
MG,4 Electric 51 kWh,160,50.8,Lithium-ion,104.0,250.0,145,300,7.7,68.0,CCS,500.0,363,5,RWD,C - Medium,4287,1836,1504,Hatchback
MG,4 Electric 64 kWh,160,61.7,Lithium-ion,104.0,250.0,142,360,7.9,116.0,CCS,500.0,363,5,RWD,C - Medium,4287,1836,1504,Hatchback
MG,4 Electric XPOWER,200,61.7,Lithium-ion,104.0,600.0,160,320,3.8,116.0,CCS,500.0,363,5,AWD,C - Medium,4287,1836,1516,Hatchback
Mercedes-Benz,EQA 250,160,66.5,Lithium-ion,300.0,385.0,146,395,8.6,100.0,CCS,1500.0,340,5,FWD,JC - Medium,4463,1834,1620,SUV
Mercedes-Benz,EQA 300 4MATIC,160,66.5,Lithium-ion,300.0,390.0,162,350,7.7,100.0,CCS,1800.0,340,5,AWD,JC - Medium,4463,1834,1620,SUV
Mercedes-Benz,EQA 350 4MATIC,160,66.5,Lithium-ion,300.0,520.0,162,350,6.0,100.0,CCS,1800.0,340,5,AWD,JC - Medium,4463,1834,1620,SUV
Mercedes-Benz,EQB 300 4MATIC,160,66.5,Lithium-ion,300.0,390.0,168,345,8.0,100.0,CCS,1700.0,495,7,AWD,JC - Medium,4684,1834,1667,SUV
Mercedes-Benz,EQB 350 4MATIC,160,66.5,Lithium-ion,300.0,520.0,168,345,6.2,100.0,CCS,1700.0,495,7,AWD,JC - Medium,4684,1834,1667,SUV
Mercedes-Benz,EQE 350 4MATIC,210,90.6,Lithium-ion,360.0,765.0,173,515,6.3,141.0,CCS,1700.0,430,5,AWD,E - Executive,4946,1906,1503,Sedan
Mercedes-Benz,EQE 500 4MATIC,210,90.6,Lithium-ion,360.0,858.0,173,505,4.7,141.0,CCS,1700.0,430,5,AWD,E - Executive,4946,1906,1503,Sedan
Mercedes-Benz,EQE AMG 43 4MATIC,210,90.6,Lithium-ion,360.0,858.0,207,450,4.2,141.0,CCS,1700.0,430,5,AWD,E - Executive,4964,1906,1495,Sedan
Mercedes-Benz,EQE AMG 53 4MATIC+,220,90.6,Lithium-ion,360.0,950.0,208,450,3.5,141.0,CCS,1700.0,430,5,AWD,E - Executive,4964,1906,1495,Sedan
Mercedes-Benz,EQE SUV AMG 43 4MATIC,210,90.6,Lithium-ion,360.0,858.0,214,425,4.3,141.0,CCS,1800.0,520,5,AWD,JE - Executive,4879,1940,1672,SUV
Mercedes-Benz,EQE SUV AMG 53 4MATIC+,240,90.6,Lithium-ion,360.0,1000.0,242,420,3.5,141.0,CCS,1800.0,520,5,AWD,JE - Executive,4879,1940,1672,SUV
Mercedes-Benz,EQS 350,210,96.0,Lithium-ion,360.0,565.0,165,570,6.7,130.0,CCS,750.0,620,5,RWD,F - Luxury,5223,1926,1512,Sedan
Mercedes-Benz,EQV 250 Extra-Long,160,60.0,Lithium-ion,192.0,365.0,282,210,12.0,60.0,CCS,0.0,1410,7,FWD,N - Passenger Van,5370,1928,1911,Small Passenger Van
Mercedes-Benz,EQV 250 Long,160,60.0,Lithium-ion,192.0,365.0,282,215,12.0,60.0,CCS,0.0,1030,7,FWD,N - Passenger Van,5140,1928,1910,Small Passenger Van
Mercedes-Benz,EQV 300 Extra-Long,140,90.0,Lithium-ion,288.0,365.0,249,315,12.2,96.0,CCS,0.0,1410,7,FWD,N - Passenger Van,5370,1928,1901,Small Passenger Van
Mercedes-Benz,EQV 300 Long,160,90.0,Lithium-ion,288.0,365.0,276,320,12.1,96.0,CCS,0.0,1030,7,FWD,N - Passenger Van,5140,1928,1901,Small Passenger Van
Mercedes-Benz,G 580,180,116.0,Lithium-ion,216.0,1164.0,267,360,4.7,150.0,CCS,0.0,555,5,AWD,JF - Luxury,4624,1931,1986,SUV
Mercedes-Benz,eVito Tourer Extra-Long 60 kWh,160,60.0,Lithium-ion,192.0,360.0,254,215,12.0,60.0,CCS,0.0,1390,8,FWD,N - Passenger Van,5370,1928,1890,Small Passenger Van
Mercedes-Benz,eVito Tourer Long 60 kWh,160,60.0,Lithium-ion,192.0,360.0,259,220,12.0,60.0,CCS,0.0,990,8,FWD,N - Passenger Van,5140,1928,1890,Small Passenger Van
Mercedes-Benz,eVito Tourer Long 90 kWh,160,90.0,Lithium-ion,288.0,360.0,260,325,12.1,96.0,CCS,0.0,990,8,FWD,N - Passenger Van,5140,1928,1890,Small Passenger Van
NIO,EL6 Long Range,200,90.0,Lithium-ion,96.0,700.0,170,435,4.5,135.0,CCS,1200.0,579,5,AWD,JE - Executive,4854,1995,1703,SUV
NIO,EL6 Standard Range,200,73.5,Lithium-ion,118.0,700.0,181,365,4.5,110.0,CCS,1200.0,579,5,AWD,JE - Executive,4854,1995,1703,SUV
NIO,EL7 Long Range,200,90.0,Lithium-ion,96.0,850.0,185,430,3.9,100.0,CCS,2000.0,570,5,AWD,JF - Luxury,4912,1987,1720,SUV
NIO,EL7 Standard Range,200,73.5,Lithium-ion,118.0,850.0,198,355,3.9,110.0,CCS,2000.0,570,5,AWD,JF - Luxury,4912,1987,1720,SUV
NIO,EL8 Long Range,200,90.0,Lithium-ion,96.0,850.0,185,440,4.1,190.0,CCS,2000.0,265,6,AWD,JF - Luxury,5099,1989,1750,SUV
NIO,EL8 Standard Range,200,73.5,Lithium-ion,118.0,850.0,196,360,4.1,110.0,CCS,2000.0,265,6,AWD,JF - Luxury,5099,1989,1750,SUV
NIO,ET5 Long Range,200,90.0,Lithium-ion,96.0,700.0,167,500,4.0,100.0,CCS,1400.0,386,5,AWD,E - Executive,4790,1960,1499,Sedan
NIO,ET5 Standard Range,200,73.5,Lithium-ion,118.0,700.0,175,410,4.0,110.0,CCS,1400.0,386,5,AWD,E - Executive,4790,1960,1499,Sedan
NIO,ET5 Touring Long Range,200,90.0,Lithium-ion,96.0,700.0,178,485,4.0,135.0,CCS,1400.0,450,5,AWD,E - Executive,4790,1960,1499,Station/Estate
NIO,ET5 Touring Standard Range,200,73.5,Lithium-ion,118.0,700.0,169,400,4.0,110.0,CCS,1400.0,450,5,AWD,E - Executive,4790,1960,1499,Station/Estate
NIO,ET7 Long Range,200,90.0,Lithium-ion,96.0,850.0,178,505,3.8,100.0,CCS,2000.0,363,5,AWD,F - Luxury,5101,1987,1509,Sedan
NIO,ET7 Standard Range,200,73.5,Lithium-ion,118.0,850.0,191,415,3.8,110.0,CCS,2000.0,363,5,AWD,F - Luxury,5101,1987,1509,Sedan
Opel,Astra Electric,170,50.8,Lithium-ion,102.0,270.0,128,320,9.2,85.0,CCS,0.0,352,5,FWD,C - Medium,4374,1860,1470,Hatchback
Opel,Astra Sports Tourer Electric,170,50.8,Lithium-ion,102.0,270.0,123,310,9.3,85.0,CCS,0.0,516,5,FWD,C - Medium,4642,1860,1480,Station/Estate
Opel,Corsa Electric 50 kWh,150,46.3,Lithium-ion,216.0,260.0,131,290,8.7,78.0,CCS,0.0,267,5,FWD,B - Compact,4061,1765,1435,Hatchback
Opel,Corsa Electric 51 kWh,150,48.1,Lithium-ion,96.0,260.0,120,315,8.1,80.0,CCS,0.0,267,5,FWD,B - Compact,4061,1765,1435,Hatchback
