brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,EV_Persona_Cluster,EV_Persona_Label,range_per_kw,charging_risk_flag
Citroen,e-C4 54 kWh,150,50.8,Lithium-ion,102.0,260.0,122,325,9.1,78.0,CCS,0.0,380.0,5,FWD,C - Medium,4360,1834,1525,Hatchback,0,City Commuter,4.166666666666667,0
Citroen,e-C4 X,150,46.3,Lithium-ion,216.0,260.0,132,290,9.9,78.0,CCS,0.0,510.0,5,FWD,C - Medium,4600,1834,1525,Sedan,0,City Commuter,3.717948717948718,1
Citroen,e-C4 X 54 kWh,150,50.8,Lithium-ion,102.0,260.0,119,335,9.1,78.0,CCS,0.0,510.0,5,FWD,C - Medium,4600,1834,1525,Sedan,0,City Commuter,4.294871794871795,0
Citroen,e-SpaceTourer M 50 kWh,130,46.3,Lithium-ion,216.0,220.0,217,180,13.3,78.0,CCS,1000.0,603.0,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van,1,Luxury Performance,2.3076923076923075,1
Citroen,e-SpaceTourer M 75 kWh,130,68.0,Lithium-ion,324.0,220.0,202,260,14.2,79.0,CCS,1000.0,603.0,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van,1,Luxury Performance,3.2911392405063293,1
Citroen,e-SpaceTourer XL 50 kWh,130,46.3,Lithium-ion,216.0,220.0,219,180,13.3,78.0,CCS,1000.0,989.0,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van,1,Luxury Performance,2.3076923076923075,1
Citroen,e-SpaceTourer XL 75 kWh,130,68.0,Lithium-ion,324.0,220.0,204,260,14.2,79.0,CCS,1000.0,989.0,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van,1,Luxury Performance,3.2911392405063293,1
DS,3 E-Tense,150,50.8,Lithium-ion,102.0,260.0,128,300,9.0,85.0,CCS,0.0,350.0,5,FWD,JB - Compact,4118,1802,1534,SUV,0,City Commuter,3.5294117647058822,0
Dacia,Spring Electric 45,125,25.0,Lithium-ion,72.0,125.0,109,165,19.1,29.0,CCS,0.0,308.0,4,FWD,A - Mini,3700,1622,1516,Hatchback,0,City Commuter,5.689655172413793,1
Dacia,Spring Electric 65,125,25.0,Lithium-ion,72.0,113.0,114,160,13.7,29.0,CCS,0.0,308.0,4,FWD,A - Mini,3700,1622,1516,Hatchback,0,City Commuter,5.517241379310345,1
Fiat,500e 3+1 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Hatchback,0,City Commuter,3.375,1
Fiat,500e 3+1 42 kWh,150,37.3,Lithium-ion,192.0,220.0,122,235,9.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Hatchback,0,City Commuter,3.5074626865671643,1
Fiat,500e Cabrio 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Cabriolet,0,City Commuter,3.375,1
Fiat,500e Cabrio 42 kWh,150,37.3,Lithium-ion,192.0,220.0,125,230,9.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Cabriolet,0,City Commuter,3.4328358208955225,1
Fiat,500e Hatchback 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Hatchback,0,City Commuter,3.375,1
Fiat,500e Hatchback 42 kWh,150,37.3,Lithium-ion,192.0,220.0,118,235,9.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,Hatchback,0,City Commuter,3.5074626865671643,1
Fiat,600e,150,50.8,Lithium-ion,102.0,260.0,124,310,9.0,79.0,CCS,0.0,360.0,5,FWD,JB - Compact,4171,1781,1523,SUV,0,City Commuter,3.9240506329113924,0
Ford,Capri Extended Range AWD,180,79.0,Lithium-ion,288.0,679.0,148,455,5.3,135.0,CCS,1200.0,572.0,5,AWD,D - Large,4643,1872,1626,Liftback Sedan,2,Family Utility,3.3703703703703702,0
Ford,Capri Extended Range RWD,180,77.0,Lithium-ion,288.0,545.0,135,455,6.4,120.0,CCS,1000.0,572.0,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,2,Family Utility,3.7916666666666665,0
Ford,Capri Standard Range RWD,160,52.0,Lithium-ion,192.0,310.0,163,320,9.0,85.0,CCS,1000.0,572.0,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,0,City Commuter,3.764705882352941,0
Ford,Explorer Extended Range AWD,180,79.0,Lithium-ion,288.0,679.0,153,440,5.3,135.0,CCS,1200.0,536.0,5,AWD,JC - Medium,4468,1871,1639,SUV,2,Family Utility,3.259259259259259,0
Ford,Explorer Extended Range RWD,180,77.0,Lithium-ion,288.0,545.0,139,435,6.4,120.0,CCS,1000.0,536.0,5,RWD,JC - Medium,4468,1871,1630,SUV,2,Family Utility,3.625,0
Ford,Explorer Standard Range RWD,160,52.0,Lithium-ion,192.0,310.0,137,305,8.7,85.0,CCS,1000.0,536.0,5,RWD,JC - Medium,4468,1871,1630,SUV,0,City Commuter,3.588235294117647,0
Ford,Mustang Mach-E ER AWD (MY24),180,91.0,Lithium-ion,376.0,675.0,165,445,4.6,115.0,CCS,1500.0,519.0,5,AWD,JD - Large,4713,1881,1624,SUV,3,Eco Efficiency,3.869565217391304,0
Ford,Mustang Mach-E ER RWD (MY24),180,91.0,Lithium-ion,376.0,525.0,152,480,5.9,115.0,CCS,1500.0,519.0,5,RWD,JD - Large,4713,1881,1624,SUV,2,Family Utility,4.173913043478261,0
Ford,Mustang Mach-E GT (MY24),200,91.0,Lithium-ion,376.0,950.0,177,425,3.8,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1613,SUV,3,Eco Efficiency,3.6956521739130435,0
Ford,Mustang Mach-E GT (MY25),200,91.0,Lithium-ion,376.0,950.0,177,435,3.8,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1613,SUV,3,Eco Efficiency,3.782608695652174,0
Ford,Mustang Mach-E Rally (MY25),200,91.0,Lithium-ion,376.0,950.0,178,415,3.9,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1633,SUV,3,Eco Efficiency,3.608695652173913,0
Ford,Mustang Mach-E Rally (MY24),200,91.0,Lithium-ion,376.0,950.0,178,410,3.9,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1633,SUV,3,Eco Efficiency,3.5652173913043477,0
Genesis,GV60 Premium,185,74.0,Lithium-ion,384.0,350.0,143,390,7.8,200.0,CCS,1600.0,432.0,5,RWD,JC - Medium,4515,1890,1580,SUV,2,Family Utility,1.95,0
Genesis,GV60 Sport,200,74.0,Lithium-ion,384.0,605.0,157,375,5.5,200.0,CCS,1600.0,432.0,5,AWD,JC - Medium,4515,1890,1580,SUV,2,Family Utility,1.875,0
Genesis,GV60 Sport Plus,235,74.0,Lithium-ion,384.0,700.0,159,360,4.0,200.0,CCS,1600.0,432.0,5,AWD,JC - Medium,4515,1890,1580,SUV,2,Family Utility,1.8,0
Genesis,GV70 Electrified Sport,235,74.0,Lithium-ion,384.0,700.0,163,350,4.2,190.0,CCS,1800.0,503.0,5,AWD,JD - Large,4715,1910,1630,SUV,2,Family Utility,1.8421052631578947,0
Hyundai,IONIQ 5 63 kWh RWD (MY24),185,60.0,Lithium-ion,288.0,350.0,136,345,8.5,150.0,CCS,750.0,520.0,5,RWD,JC - Medium,4655,1890,1605,SUV,0,City Commuter,2.3,0
Hyundai,IONIQ 5 84 kWh AWD (MY24),185,80.0,Lithium-ion,384.0,605.0,162,445,5.3,205.0,CCS,1600.0,520.0,5,AWD,JC - Medium,4655,1890,1605,SUV,2,Family Utility,2.1707317073170733,0
Hyundai,IONIQ 5 84 kWh RWD (MY24),185,80.0,Lithium-ion,384.0,350.0,155,450,7.5,205.0,CCS,1600.0,520.0,5,RWD,JC - Medium,4655,1890,1605,SUV,2,Family Utility,2.1951219512195124,0
Hyundai,IONIQ 5 N (MY24),260,80.0,Lithium-ion,384.0,740.0,179,390,3.4,205.0,CCS,0.0,480.0,5,AWD,JC - Medium,4715,1940,1585,SUV,3,Eco Efficiency,1.9024390243902438,0
Hyundai,IONIQ 6 Long Range 2WD,185,74.0,Lithium-ion,384.0,350.0,136,495,7.4,200.0,CCS,1500.0,401.0,5,RWD,D - Large,4855,1880,1495,Sedan,2,Family Utility,2.475,0
Hyundai,IONIQ 6 Long Range AWD,185,74.0,Lithium-ion,384.0,605.0,143,440,5.1,200.0,CCS,1500.0,401.0,5,AWD,D - Large,4855,1880,1495,Sedan,2,Family Utility,2.2,0
Hyundai,IONIQ 6 Standard Range 2WD,185,50.0,Lithium-ion,264.0,350.0,117,335,8.8,120.0,CCS,750.0,401.0,5,RWD,D - Large,4855,1880,1495,Sedan,0,City Commuter,2.7916666666666665,0
Jaguar,I-Pace EV400,200,84.7,Lithium-ion,432.0,696.0,208,380,4.8,85.0,CCS,750.0,505.0,5,AWD,JD - Large,4682,2011,1566,SUV,3,Eco Efficiency,4.470588235294118,0
Jeep,Avenger Electric,150,50.8,Lithium-ion,102.0,260.0,132,310,9.0,85.0,CCS,0.0,355.0,5,FWD,JB - Compact,4084,1776,1528,SUV,0,City Commuter,3.6470588235294117,0
Kia,EV6 GT,260,80.0,Lithium-ion,384.0,770.0,178,385,3.5,205.0,CCS,1800.0,480.0,5,AWD,JC - Medium,4695,1890,1545,SUV,3,Eco Efficiency,1.8780487804878048,0
Kia,EV6 Long Range 2WD,185,80.0,Lithium-ion,384.0,350.0,143,455,7.3,205.0,CCS,1800.0,490.0,5,RWD,JC - Medium,4695,1880,1575,SUV,2,Family Utility,2.2195121951219514,0
Kia,EV6 Long Range AWD,185,80.0,Lithium-ion,384.0,605.0,154,440,5.2,205.0,CCS,1800.0,490.0,5,AWD,JC - Medium,4695,1880,1575,SUV,2,Family Utility,2.1463414634146343,0
